File Extension,Size (Bytes),Size (human readable),Time to run ifind.exe in seconds
.pdf,1546350,1.5MB,12.8929998875
.pdf,1621026,1.5MB,12.9160001278
.pdf,1792638,1.7MB,13.2249999046
.xlsx,10286,10.0KB,13.2330000401
.pdf,20040016,19.1MB,12.7819998264
.pdf,17637672,16.8MB,13.1100001335
.xlsx,10990,10.7KB,15.8239998817
.xml,477567,466.4KB,13.1579999924
.html,467242,456.3KB,13.4610002041
.pdf,13661,13.3KB,13.2229998112
.txt,4147,4.0KB,13.3240001202
.docx,15754,15.4KB,13.4100000858
.pdf,1625522,1.6MB,13.3649997711
.xlsx,195191,190.6KB,13.0090000629
.accdb,352256,344.0KB,13.3180000782
.png,213244,208.2KB,13.0969998837
.psd,108050678,103.0MB,13.5670001507
.docx,58950,57.6KB,13.6830000877
.JPG,2696125,2.6MB,13.1829998493
.jpg,134731,131.6KB,13.2910001278
.pdf,16335874,15.6MB,13.3299999237
.pdf,3647860,3.5MB,13.2269999981
.pptx,250726,244.8KB,13.367000103
.xlsm,932414,910.6KB,13.9259998798
.xq,1656,1.6KB,13.4080002308
334.332000017,total seconds to process 25 files
