File Extension,Size (Bytes),Size (human readable),Time to run ifind.exe in seconds
.pdf,1546350,1.5MB,13.4580001831
.pdf,1621026,1.5MB,13.257999897
.pdf,1792638,1.7MB,13.4620001316
.xlsx,10286,10.0KB,13.1480000019
.pdf,20040016,19.1MB,14.3050000668
.pdf,17637672,16.8MB,14.260999918
.xlsx,10990,10.7KB,12.9530000687
.xml,477567,466.4KB,13.0490000248
.html,467242,456.3KB,13.2219998837
.pdf,13661,13.3KB,13.4340000153
.txt,4147,4.0KB,13.3830001354
.docx,15754,15.4KB,13.0419998169
.pdf,1625522,1.6MB,13.3160002232
.xlsx,195191,190.6KB,12.9549999237
.accdb,352256,344.0KB,13.2839999199
.png,213244,208.2KB,13.1590001583
.psd,108050678,103.0MB,19.1570000648
.docx,58950,57.6KB,12.9559998512
.JPG,2696125,2.6MB,13.4010000229
.jpg,134731,131.6KB,13.0520000458
.pdf,16335874,15.6MB,14.5410001278
.pdf,3647860,3.5MB,13.378000021
.pptx,250726,244.8KB,13.138999939
.xlsm,932414,910.6KB,14.3450000286
.xq,1656,1.6KB,12.9900000095
340.654000044,total seconds to process 25 files
