File Extension,Size (Bytes),Size (human readable),Time to run MFTRcrd.exe in seconds
.pdf,1546350,1.5MB,5.24699997902
.pdf,1621026,1.5MB,2.48100018501
.pdf,1792638,1.7MB,2.26999998093
.xlsx,10286,10.0KB,1.68700003624
.pdf,20040016,19.1MB,1.29600000381
.pdf,17637672,16.8MB,2.5609998703
.xlsx,10990,10.7KB,1.71900010109
.xml,477567,466.4KB,0.944999933243
.html,467242,456.3KB,0.851000070572
.pdf,13661,13.3KB,0.868000030518
.txt,4147,4.0KB,0.835000038147
.docx,15754,15.4KB,1.04299998283
.pdf,1625522,1.6MB,2.01999998093
.xlsx,195191,190.6KB,1.27399992943
.accdb,352256,344.0KB,0.870000123978
.png,213244,208.2KB,0.953999996185
.psd,108050678,103.0MB,0.950999975204
.docx,58950,57.6KB,0.900000095367
.JPG,2696125,2.6MB,1.21999979019
.jpg,134731,131.6KB,1.16400003433
.pdf,16335874,15.6MB,0.967000007629
.pdf,3647860,3.5MB,0.866999864578
.pptx,250726,244.8KB,2.05100011826
.xlsm,932414,910.6KB,0.927999973297
.xq,1656,1.6KB,1.00099992752
36.9739999771,total seconds to process 25 files
